run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
order_category_digit_relaxed_20260928/generated_validation_20261012,4,110395,125950,131,126,0.34389166830480483,0.0,0.32774116712981344,437,0.003958512613795914,369,0.002929734021437078
order_category_digit_relaxed_20260929/generated_validation_20261011,0,147,147,147,147,0.8231292517006801,0.0,0.1292517006802721,12,0.08163265306122448,55,0.3741496598639456
order_category_digit_relaxed_20260929/generated_validation_20261011,1,4305,4427,147,147,0.334906878837416,0.0,0.14569686017619154,143,0.03321718931475029,1045,0.23605150214592274
order_category_digit_relaxed_20260929/generated_validation_20261011,2,9180,9351,135,139,0.27552741554326793,0.0,0.16201475777991659,81,0.008823529411764706,452,0.04833707624852957
order_category_digit_relaxed_20260929/generated_validation_20261011,3,53970,54239,135,137,0.21724676429269293,0.0,0.16873467431184203,473,0.008764128219381138,138,0.002544294695698667
order_category_digit_relaxed_20260929/generated_validation_20261011,4,110395,128755,131,130,0.21204752678076338,0.0,0.165966370238049,437,0.003958512613795914,175,0.0013591705176498
order_category_digit_relaxed_20260929/generated_validation_20261012,0,147,147,147,147,0.7551020408163263,0.0,0.14965986394557823,12,0.08163265306122448,42,0.2857142857142857
order_category_digit_relaxed_20260929/generated_validation_20261012,1,4305,4367,147,147,0.3312991773641771,0.0,0.15731623540187772,143,0.03321718931475029,861,0.1971605220975498
order_category_digit_relaxed_20260929/generated_validation_20261012,2,9180,9151,135,137,0.2660549021512465,0.0,0.16041962627035297,81,0.008823529411764706,402,0.043929625177576224
order_category_digit_relaxed_20260929/generated_validation_20261012,3,53970,53005,135,133,0.21655804301204834,0.0,0.16500330157532309,473,0.008764128219381138,207,0.003905291953589284
order_category_digit_relaxed_20260929/generated_validation_20261012,4,110395,114914,131,126,0.2145221774865664,0.0,0.16726421497815758,437,0.003958512613795914,112,0.0009746419061210992
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,0,147,147,147,147,0.8027210884353739,0.0,0.2925170068027211,12,0.08163265306122448,47,0.3197278911564626
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,1,4305,4305,147,147,0.3800232288037166,0.0,0.24924506387921022,143,0.03321718931475029,724,0.16817653890824621
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,2,9180,8736,135,132,0.3305851827910652,0.0,0.2581272893772894,81,0.008823529411764706,540,0.061813186813186816
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,3,53970,50280,135,127,0.2882382394002148,0.0,0.25966587112171835,473,0.008764128219381138,312,0.006205250596658711
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,4,110395,102678,131,120,0.28081703922398105,0.0,0.2617795438165917,437,0.003958512613795914,28,0.0002726971697929449
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,0,147,147,147,147,0.7687074829931972,0.0,0.22448979591836735,12,0.08163265306122448,51,0.3469387755102041
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,1,4305,4354,147,147,0.3759021701379163,0.0,0.25999081304547544,143,0.03321718931475029,782,0.17960496095544326
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,2,9180,9068,135,137,0.32889170469932816,0.0,0.2534186149095721,81,0.008823529411764706,828,0.09131010145566829
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,3,53970,53051,135,133,0.28760687373776594,0.0,0.26120148536314114,473,0.008764128219381138,1131,0.02131910802812388
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,4,110395,109046,131,129,0.2817624517107747,0.0,0.26082570658254317,437,0.003958512613795914,45,0.0004126698824349357
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,0,147,147,147,147,0.7891156462585032,0.0,0.19727891156462585,12,0.08163265306122448,42,0.2857142857142857
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,1,4305,4322,147,147,0.31773198303147177,0.0,0.12170291531698288,143,0.03321718931475029,899,0.20800555298472928
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,2,9180,9161,135,135,0.24543890352657696,0.0,0.12247571225848707,81,0.008823529411764706,718,0.07837572317432595
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,3,53970,53308,135,134,0.1816335132728902,0.0,0.12401515719966984,473,0.008764128219381138,872,0.016357769940721842
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,4,110395,132698,131,129,0.17917362529386263,0.0,0.1220741834843027,437,0.003958512613795914,2164,0.01630770622013896
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,0,147,147,147,147,0.768707482993197,0.0,0.17006802721088435,12,0.08163265306122448,48,0.32653061224489793
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,1,4305,4304,147,147,0.3193185497972877,0.0,0.11988847583643122,143,0.03321718931475029,1076,0.25
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,2,9180,9248,135,136,0.25166602588747916,0.0,0.11905276816608996,81,0.008823529411764706,1010,0.10921280276816608
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,3,53970,54328,135,136,0.181282718898982,0.0,0.1224230599322633,473,0.008764128219381138,1722,0.03169636283316154
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,4,110395,136106,131,133,0.17462066780558222,0.0,0.12105270891804917,437,0.003958512613795914,4647,0.03414250657575713
