run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
order_category_digit_relaxed_20260929/generated_validation_20261011,2,8976,9147,132,136,0.2750630448368858,0.0,0.16223898545971357,81,0.009024064171122994,390,0.042636930141029844
order_category_digit_relaxed_20260929/generated_validation_20261011,3,52770,53039,132,134,0.21773043654366228,0.0,0.16866833839250364,458,0.00867917377297707,138,0.0026018590094081715
order_category_digit_relaxed_20260929/generated_validation_20261011,4,108786,126163,128,127,0.21242686629993524,0.0,0.16638792672970681,430,0.003952714503704521,156,0.0012364956445233546
order_category_digit_relaxed_20260929/generated_validation_20261012,0,143,143,143,143,0.7482517482517481,0.0,0.14685314685314685,11,0.07692307692307693,40,0.27972027972027974
order_category_digit_relaxed_20260929/generated_validation_20261012,1,4204,4268,143,143,0.3324528253094077,0.0,0.15581068416119961,135,0.032112274024738346,833,0.19517338331771322
order_category_digit_relaxed_20260929/generated_validation_20261012,2,8976,8947,132,134,0.2668629826825311,0.0,0.1608360344249469,81,0.009024064171122994,402,0.044931261875488994
order_category_digit_relaxed_20260929/generated_validation_20261012,3,52770,51901,132,130,0.2170536654971868,0.0,0.16506425695073312,458,0.00867917377297707,207,0.0039883624592975085
order_category_digit_relaxed_20260929/generated_validation_20261012,4,108786,111286,128,124,0.21428332678006645,0.0,0.16729867189044445,430,0.003952714503704521,111,0.0009974300451089985
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,0,143,143,143,143,0.8181818181818181,0.0,0.3006993006993007,11,0.07692307692307693,46,0.32167832167832167
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,1,4204,4201,143,143,0.3824951288160061,0.0,0.2489883361104499,135,0.032112274024738346,713,0.16972149488217092
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,2,8976,8532,132,129,0.33056160387694267,0.0,0.2572667604313174,81,0.009024064171122994,540,0.06329113924050633
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,3,52770,49080,132,124,0.28777698394054935,0.0,0.2595150774246129,458,0.00867917377297707,312,0.006356968215158924
order_category_numeric_digit_relaxed_20260928/generated_validation_20261011,4,108786,101002,128,117,0.28089444015481635,0.0,0.26181659769113486,430,0.003952714503704521,28,0.0002772222332231045
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,0,143,143,143,143,0.7762237762237763,0.0,0.21678321678321677,11,0.07692307692307693,51,0.35664335664335667
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,1,4204,4230,143,143,0.37783547358926434,0.0,0.2591016548463357,135,0.032112274024738346,782,0.18486997635933805
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,2,8976,8796,132,133,0.32956278133230227,0.0,0.25306957708049116,81,0.009024064171122994,828,0.0941336971350614
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,3,52770,51451,132,129,0.28763793492458484,0.0,0.2608306932809858,458,0.00867917377297707,1128,0.02192377213270879
order_category_numeric_digit_relaxed_20260928/generated_validation_20261012,4,108786,104315,128,125,0.28214260063158786,0.0,0.26084455735033313,430,0.003952714503704521,41,0.00039304031059770884
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,0,143,143,143,143,0.7972027972027972,0.0,0.20279720279720279,11,0.07692307692307693,41,0.2867132867132867
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,1,4204,4223,143,143,0.3210776786899163,0.0,0.12266161496566422,135,0.032112274024738346,893,0.21146104664930143
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,2,8976,8957,132,132,0.24556904576967753,0.0,0.12225075360053589,81,0.009024064171122994,718,0.08016076811432399
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,3,52770,52108,132,131,0.18244086468187043,0.0,0.12416519536347585,458,0.00867917377297707,872,0.01673447455285177
