run,intervention,field,group,events,nll,accuracy,mean_fraud_probability,mean_true_probability
relaxed_20260928,shuffle_current_merchant,event_is_fraud,fraud_continuation,656,0.35099410085103955,0.8902439024390244,0.8374648572708105,0.8374648572708105
relaxed_20260928,zero_history_after_first,gap,all,68939,4.7684424902253975,0.010371487837073355,,0.010355498584023863
relaxed_20260928,zero_history_after_first,gap,first,0,,,,
relaxed_20260928,zero_history_after_first,gap,positions_1_99,13485,4.876681947301483,0.007489803485354097,,0.01032224615136773
relaxed_20260928,zero_history_after_first,gap,positions_100_511,55454,4.7421214118781005,0.011072240054820211,,0.010363584728474541
relaxed_20260928,zero_history_after_first,gap,fraud,714,4.934873299772332,0.0070028011204481795,,0.009143385301978838
relaxed_20260928,zero_history_after_first,gap,normal,68225,4.766700729902693,0.010406742396482227,,0.010368183800343102
relaxed_20260928,zero_history_after_first,gap,fraud_onset,58,4.663863671237025,0.0,,0.01121697209952078
relaxed_20260928,zero_history_after_first,gap,fraud_continuation,656,4.958834516929417,0.007621951219512195,,0.008960049883903483
relaxed_20260928,zero_history_after_first,receiver_or_mark,all,69086,6.683690652999688,0.0015053701184031497,,0.0015621012604488129
relaxed_20260928,zero_history_after_first,receiver_or_mark,first,147,6.6983205169236575,0.0,,0.003317914514914852
relaxed_20260928,zero_history_after_first,receiver_or_mark,positions_1_99,13485,6.734939575495877,0.0013348164627363737,,0.0015884221391087086
relaxed_20260928,zero_history_after_first,receiver_or_mark,positions_100_511,55454,6.671189439203426,0.0015508349262451761,,0.001551046303238599
relaxed_20260928,zero_history_after_first,receiver_or_mark,fraud,726,6.544556328416199,0.0013774104683195593,,0.002144729991058571
relaxed_20260928,zero_history_after_first,receiver_or_mark,normal,68360,6.685168293720103,0.0015067290813341135,,0.0015559136001442096
relaxed_20260928,zero_history_after_first,receiver_or_mark,fraud_onset,58,6.524683590593009,0.017241379310344827,,0.0020173128502612033
relaxed_20260928,zero_history_after_first,receiver_or_mark,fraud_continuation,656,6.5518852148841065,0.0,,0.002062771372121882
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,all,69086,4.589743477056313,0.017413079350374894,,0.01200189502903784
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,first,147,4.600858291192931,0.034013605442176874,,0.02660944340291249
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,positions_1_99,13485,4.605395008645148,0.01831664812754913,,0.012929097897943605
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,positions_100_511,55454,4.585907959669767,0.017149349009990263,,0.011737700556174678
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,fraud,726,3.4755618725351725,0.33884297520661155,,0.05563864013524572
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,normal,68360,4.601576359515096,0.013999414862492687,,0.011538462071941483
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,fraud_onset,58,3.596568732426084,0.41379310344827586,,0.03530936469805652
relaxed_20260928,zero_history_after_first,amount_or_numeric_value,fraud_continuation,656,3.4779405355816935,0.3307926829268293,,0.05479210433454349
relaxed_20260928,zero_history_after_first,category,all,69086,1.4241491099564758,0.5813044611064471,,0.3119460134818559
relaxed_20260928,zero_history_after_first,category,first,147,1.3818462530569153,0.5306122448979592,,0.40414931464838943
relaxed_20260928,zero_history_after_first,category,positions_1_99,13485,1.4180242686773123,0.5660363366703745,,0.3230945800085755
relaxed_20260928,zero_history_after_first,category,positions_100_511,55454,1.425750653661416,0.5851516572294154,,0.3089905494056073
relaxed_20260928,zero_history_after_first,category,fraud,726,1.0524588848128094,0.731404958677686,,0.43404636634180205
relaxed_20260928,zero_history_after_first,category,normal,68360,1.428096551493256,0.5797103569338795,,0.31064927772737494
relaxed_20260928,zero_history_after_first,category,fraud_onset,58,1.1600097715854645,0.7068965517241379,,0.40751203531720515
relaxed_20260928,zero_history_after_first,category,fraud_continuation,656,1.045092366826039,0.7347560975609756,,0.43387211666998976
relaxed_20260928,zero_history_after_first,event_is_fraud,all,69086,0.28353221618951324,0.9290015343195438,0.17323498138094068,0.7820153130037261
relaxed_20260928,zero_history_after_first,event_is_fraud,first,147,0.3746779115591832,0.8367346938775511,0.3348412975402815,0.7270816646668375
relaxed_20260928,zero_history_after_first,event_is_fraud,positions_1_99,13485,0.3405752410548285,0.8870596959584723,0.22187566503631706,0.7482648683817553
relaxed_20260928,zero_history_after_first,event_is_fraud,positions_100_511,55454,0.26941919264697134,0.9394453060194035,0.16097841291756249,0.7903681819046674
relaxed_20260928,zero_history_after_first,event_is_fraud,fraud,726,0.8810473838025709,0.6322314049586777,0.5584407537077495,0.5584407537077495
relaxed_20260928,zero_history_after_first,event_is_fraud,normal,68360,0.27718645826547755,0.9321533060269164,0.16914400141152489,0.7843897297686308
relaxed_20260928,zero_history_after_first,event_is_fraud,fraud_onset,58,1.0116040357227982,0.6206896551724138,0.5128288527244124,0.5128288527244124
relaxed_20260928,zero_history_after_first,event_is_fraud,fraud_continuation,656,0.8841709560180855,0.6265243902439024,0.5557421235447159,0.5557421235447159
