kappa,trial,name,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
1,0,G,A,pooled,0.31773817169090296,0.31699914396723605,0.0007390277236669074,0.1578487477659566,0.21678207081612183,3.320963031529522,4.1588830833596715,0.0014168632240669267
1,0,G,A,0,0.3174738173894707,0.31664587115679127,0.0008279462326794551,0.1595440875419172,0.21668530928625124,3.3263435576929368,4.1588830833596715,0.0012928142324721559
1,0,G,A,1,0.3202453169788681,0.32034959545326863,0.00010427847440053206,0.14177008701494587,0.21769513517791528,3.269933936317946,4.1588830833596715,0.007377241046167447
1,0,G,B,pooled,0.31773817169090296,0.3182016068578991,0.00046343516699615117,0.15806344249107732,0.21678207081612183,3.3215569325238574,4.1588830833596715,0.005782712180157937
1,0,G,B,0,0.3174738173894707,0.3171932446926358,0.00028057269683490205,0.15966919204996638,0.21668530928625124,3.326700956629611,4.1588830833596715,0.00793994960285528
1,0,G,B,1,0.3202453169788681,0.32776494831860165,0.007519631339733546,0.14283445844047052,0.21769513517791528,3.272770830962261,4.1588830833596715,0.02811316022385401
1,0,G,P,pooled,0.31773817169090296,0.31874271349008665,0.0010045417991836891,0.15804804464694738,0.21678207081612183,3.3215194644687727,4.1588830833596715,0.005612455882418105
1,0,G,P,0,0.3174738173894707,0.3171932446926358,0.00028057269683490205,0.15966919204996638,0.21668530928625124,3.326700956629611,4.1588830833596715,0.00793994960285528
1,0,G,P,1,0.3202453169788681,0.33343792886328366,0.013192611884415562,0.14267302691296255,0.21769513517791528,3.2723780145839405,4.1588830833596715,0.022807538361338156
1,1,U,A,pooled,0.31773817169090296,0.31693200211199685,0.000806169578906113,0.15819045158870595,0.21678207081612183,3.3225104446334837,4.1588830833596715,0.001460774065281301
1,1,U,A,0,0.3174738173894707,0.3166140985361533,0.000859718853317426,0.15987653989563286,0.21668530928625124,3.3280645741953405,4.1588830833596715,0.001312086122053017
1,1,U,A,1,0.3202453169788681,0.319947010560451,0.0002983064184171047,0.14219953208824007,0.21769513517791528,3.2698348888195103,4.1588830833596715,0.007257700867827557
1,1,U,B,pooled,0.31773817169090296,0.31762917070049584,0.00010900099040711542,0.15828590460553044,0.21678207081612183,3.3227804473280895,4.1588830833596715,0.002469557414504476
1,1,U,B,0,0.3174738173894707,0.3166140985361533,0.000859718853317426,0.15987653989563286,0.21668530928625124,3.3280645741953405,4.1588830833596715,0.001312086122053017
1,1,U,B,1,0.3202453169788681,0.3272561500232749,0.007010833044406806,0.14320026479999304,0.21769513517791528,3.272665606357231,4.1588830833596715,0.02825195760802064
