family,kappa,index,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
U,0,0,raw,0,0.31215997750755603,0.3166343867778778,0.0044744092703217775,0.15866279616030793,0.21474220839988342,3.3459548950195312,4.1588830833596715,0.00447439030058948
U,0,0,raw,1,0.31017932137857473,0.31295081973075867,0.002771498352183932,0.1596640449353469,0.21397090418691228,3.3576834201812744,4.1588830833596715,0.003323775887167465
U,0,0,level,pooled,0.3119710563295204,0.31411631369834453,0.0021452573688241494,0.15873911329066834,0.21466778354492125,3.3470308943613043,4.1588830833596715,0.0024896136380703673
U,0,0,level,0,0.31215997750755603,0.31457946991761665,0.0024194924100606197,0.1586444308644096,0.21474220839988342,3.3459101910347053,4.1588830833596715,0.002856115449710561
U,0,0,level,1,0.31017932137857473,0.30972372418325567,0.0004555971953190685,0.15963708467816393,0.21397090418691228,3.357659683260403,4.1588830833596715,0.003464221015984111
U,0,0,gap,pooled,0.3119710563295204,0.31411752993493236,0.0021464736054119804,0.15874011247704975,0.21466778354492125,3.347032953628687,4.1588830833596715,0.0025230965401201876
U,0,0,gap,0,0.31215997750755603,0.31458033837810206,0.0024203608705460344,0.1586457633334111,0.21474220839988342,3.3459131060724645,4.1588830833596715,0.0029262558233210034
U,0,0,gap,1,0.31017932137857473,0.309728238740362,0.00045108263821275196,0.15963492300071333,0.21397090418691228,3.3576536263720835,4.1588830833596715,0.0031063110471811787
U,0,0,direct,pooled,0.3119710563295204,0.3167522342054133,0.004781177875892939,0.214669900364622,0.21466778354492125,3.4748321445030523,4.1588830833596715,0.0047811778759492465
U,0,0,direct,0,0.31215997750755603,0.3172704970765818,0.005110519569025751,0.21474671167354223,0.21474220839988342,3.474193121676723,4.1588830833596715,0.005110519569071484
U,0,0,direct,1,0.31017932137857473,0.3118370113081976,0.001657689929622841,0.21394141926868956,0.21397090418691228,3.4808926589688776,4.1588830833596715,0.00639087528517763
U,0,1,raw,pooled,0.3119710563295204,0.3128817677497864,0.0009107114202659972,0.1592125449176736,0.21466778354492125,3.3480679988861084,4.1588830833596715,0.0012807806071337506
U,0,1,raw,0,0.31215997750755603,0.3131207525730133,0.0009607750654572755,0.15911433696228874,0.21474220839988342,3.346799850463867,4.1588830833596715,0.0015381418637773672
U,0,1,raw,1,0.31017932137857473,0.31061485409736633,0.00043553271879159805,0.16014395254467148,0.21397090418691228,3.3600943088531494,4.1588830833596715,0.0033860680772045243
U,0,1,level,pooled,0.3119710563295204,0.31402564965563934,0.0020545933261189586,0.15921735058784803,0.21466778354492125,3.348080265387231,4.1588830833596715,0.0020545933261175283
U,0,1,level,0,0.31215997750755603,0.3144448784568477,0.0022849009492916794,0.1591198982897307,0.21474220839988342,3.3468135748643633,4.1588830833596715,0.0023334042540381367
U,0,1,level,1,0.31017932137857473,0.31004966928446986,0.00012965209410487066,0.16014159153532803,0.21397090418691228,3.3600936018773635,4.1588830833596715,0.003445333069308581
U,0,1,gap,pooled,0.3119710563295204,0.3140264446506804,0.0020553883211600343,0.15921919059004855,0.21466778354492125,3.348089617078268,4.1588830833596715,0.0023479414300365963
U,0,1,gap,0,0.31215997750755603,0.31444529762484746,0.002285320117291434,0.15912253865859682,0.21474220839988342,3.3468254296908655,4.1588830833596715,0.002775914253206355
U,0,1,gap,1,0.31017932137857473,0.31005402863609854,0.0001252927424761907,0.16013584083254148,0.21397090418691228,3.360079213745554,4.1588830833596715,0.0028281386341188807
U,0,1,direct,pooled,0.3119710563295204,0.3167522342054133,0.004781177875892939,0.214669900364622,0.21466778354492125,3.4745719659034253,4.1588830833596715,0.0047811778759492465
U,0,1,direct,0,0.31215997750755603,0.3172704970765818,0.005110519569025751,0.21474671167354223,0.21474220839988342,3.473739359394591,4.1588830833596715,0.005110519569071484
U,0,1,direct,1,0.31017932137857473,0.3118370113081976,0.001657689929622841,0.21394141926868956,0.21397090418691228,3.482468434672953,4.1588830833596715,0.00639087528517763
argn_original,1,20260920,raw,pooled,0.31773817169090296,0.015627047047019005,0.30211112464388395,0.3080517430676943,0.21678207081612183,4.15892219543457,4.1588830833596715,0.3021111238774175
argn_original,1,20260920,raw,0,0.3174738173894707,0.015627393499016762,0.30184642389045396,0.3077953528043942,0.21668530928625124,4.158900737762451,4.1588830833596715,0.30184642109902615
argn_original,1,20260920,raw,1,0.3202453169788681,0.015623742714524269,0.30462157426434383,0.3104833571440695,0.21769513517791528,4.159128189086914,4.1588830833596715,0.30462157413284985
argn_original,1,20260920,level,pooled,0.31773817169090296,0.3161684489787103,0.0015697227121926338,0.21679634200519624,0.21678207081612183,3.4519247581389605,4.1588830833596715,0.01675447341849378
argn_original,1,20260920,level,0,0.3174738173894707,0.3160592885933508,0.0014145287961199182,0.21669869605031492,0.21668530928625124,3.4528028953452266,4.1588830833596715,0.0024984495501909143
