family,kappa,variant,group,entities,events,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,repeat_level_reference_weighted,reference_repeat_level,null_centered_shape_l1
argn_continued,0,gap,0,1834.0,43810.0,0.07567016190803029,0.1251757516179516,0.16712070422963757,7.060281804977764e-05,0.015877230383884538,0.005558406195127245,0.005635193298034802,0.03352613287671192,0.0,0.07097201175598274,0.0054062541070324195,0.012048026657273897,0.015980419726708005,0.4792806817371937,0.3121599775075561,0.005280364239230076
argn_continued,0,gap,1,214.0,5110.0,0.08474110824467192,0.17017508296311046,0.15977123037855817,0.0002901327815495863,0.016284096924782134,0.009869213574632362,0.016300910367776516,0.042619973810407503,0.0,0.0742592899567965,0.013267907575021526,0.02245927872205468,0.03596270269496643,0.4699505517571329,0.31017932137857473,0.013955498418069553
argn_continued,0,gap,pooled,2048.0,48920.0,0.09359709045172308,0.1246915170828395,0.16634165091122521,5.379835578403477e-05,0.015909115054132266,0.004005142730486948,0.005714068940184447,0.03290448925348181,0.0,0.08894907427513758,0.005360023290426137,0.0116371910853202,0.015150947804831305,0.47831270724074565,0.3119710563295204,0.004606050812041074
argn_continued,0,level,0,1834.0,43810.0,0.07561087452686108,0.12529032065011933,0.16694673012008562,5.836703879795237e-05,0.015988487105475676,0.005571771786101777,0.005635193298034802,0.0334400006678732,0.0,0.07083269482570743,0.0054062541070324195,0.012047796806428394,0.015980419726708005,0.4791067076276416,0.3121599775075561,0.004981432494137309
argn_continued,0,level,1,214.0,5110.0,0.08411334294745086,0.17040136433026656,0.16050121158677386,0.00026523976199789085,0.01648013660996319,0.009736491184019785,0.016061558586726043,0.04243820666506384,0.0,0.07363173923106085,0.01330524883715368,0.022466517575893203,0.03596270269496643,0.47068053296534856,0.31017932137857473,0.01455883008478448
argn_continued,0,level,pooled,2048.0,48920.0,0.09370112097479856,0.12467010860058143,0.16625424696527655,4.677259687168707e-05,0.016026662049500064,0.0040305267622495365,0.005710513157058765,0.03286946162400821,0.0,0.08902061965535017,0.005360023290426137,0.011639328257275242,0.015150947804831305,0.4782253032947969,0.3119710563295204,0.004656576081225772
argn_continued,0,raw,0,1834.0,43810.0,0.016288453188342242,0.13910966860984686,0.23587595061432623,3.91231203101553e-05,0.015773238779909673,0.00550240809514434,0.0055439428856105715,0.03273751430846982,0.0,0.009082591535851331,0.005413856877571195,0.012117991088882986,0.015980419726708005,0.07628402689322979,0.3121599775075561,0.002604596305652874
argn_continued,0,raw,1,214.0,5110.0,0.046433558513372226,0.18787474591591177,0.23267524137130668,0.00028376985184922523,0.015829282686580005,0.009636676517311213,0.016061454200075858,0.0434610790290591,0.0,0.0255190168742834,0.012940949634008955,0.022107478125082004,0.03596270269496643,0.07750408000726805,0.31017932137857473,0.008586744373018719
argn_continued,0,raw,pooled,2048.0,48920.0,0.015926827872949464,0.13737817099078134,0.23556497745023763,3.116848375889235e-05,0.01578150866323058,0.0039812892381713965,0.005558631199095609,0.0321765157163219,0.0,0.0096580814435788,0.0053634302132934035,0.01165027397664545,0.015150947804831305,0.07640607887928273,0.3119710563295204,0.002139573479047914
argn_continued,1,direct,0,1834.0,43810.0,0.02165767085378463,0.05529849494049807,0.005398824069237563,4.7462951961423326e-05,0.02458349607316225,0.006043816676544204,0.0056838094435355075,0.03209819813857433,0.0,0.016091066971445984,0.0054008161291713526,0.011821403394017993,0.015980419726708005,0.3172925220719482,0.3174738173894708,0.005387329904330784
argn_continued,1,direct,1,214.0,5110.0,0.05033969298932378,0.11931969635702618,0.012248591450073641,0.0035153915362552135,0.01874659889937537,0.014293701138377982,0.018682081052984262,0.04178111374290022,0.0,0.02803262428689692,0.020621110910257544,0.03160845554885945,0.03596270269496643,0.31393546651585097,0.32024531697886804,0.009816293077118935
argn_continued,1,direct,pooled,2048.0,48920.0,0.01967672191206877,0.0542357966587346,0.005016538352307433,0.0001266334639853569,0.023953505333677034,0.004005211451207336,0.005825397954775287,0.031894546793836874,0.0,0.015131886578805704,0.005302331792945925,0.01244843034204949,0.015150947804831305,0.3165155110271737,0.317738171690903,0.0050630327519409725
argn_continued,1,gap,0,1834.0,43810.0,0.03832297415287075,0.07665685794596479,0.07701074464600581,3.051824356356126e-05,0.02459745028666323,0.00611214582173437,0.005900622931189319,0.03235612625025567,0.0,0.03588815604742162,0.005401750018082925,0.01187454368395567,0.015980419726708005,0.3944845620354765,0.3174738173894708,0.004514403828933333
argn_continued,1,gap,1,214.0,5110.0,0.06479057423010019,0.1296353456775575,0.047603656762230745,0.010875556647050663,0.024258415971996943,0.014772265646866678,0.01866569234890514,0.04195421041892674,0.0,0.04672449915995702,0.020392862914271975,0.03162120796679838,0.03596270269496643,0.36726647119077466,0.32024531697886804,0.013621563263536371
argn_continued,1,gap,pooled,2048.0,48920.0,0.043540249678712534,0.07767292622848125,0.07350090196831922,0.00015090762953808273,0.024554382016080695,0.004020926674418653,0.005953776102849463,0.03215013838265498,0.0,0.040342164489598174,0.005292111024344126,0.012488669668935838,0.015150947804831305,0.39123907365922217,0.317738171690903,0.004644870603576189
