family,kappa,index,group,contrast,conditional_brier,conditional_mark_nll,conditional_curve_l1,generated_curve_l1
U,1,0,pooled,gap_minus_raw,-7.076384291981874e-06,-1.842089240255973e-05,-0.0008427938394390999,-7.878788972030034e-05
U,1,0,pooled,direct_minus_raw,0.05612041579846261,0.12758646891159175,0.0007451491403283003,-0.0025961360856604663
U,1,0,pooled,direct_minus_gap,0.05612749218275459,0.12760488980399431,0.0015879429797674002,-0.002517348195940166
U,1,1,0,level_minus_raw,-1.6026363469784366e-05,-7.613696144570525e-05,-0.0036403617511066005,0.0001754290875383667
U,1,1,0,gap_minus_raw,-1.5339294389293823e-05,-7.531017059081435e-05,-0.003684712051392,-0.00019998791937236686
U,1,1,0,direct_minus_raw,0.05688268418567821,0.1291173867528439,-0.0021008111341633004,-0.003356546447360633
U,1,1,0,direct_minus_gap,0.056898023480067506,0.1291926969234347,0.0015839009172286997,-0.0031565585279882662
U,1,1,1,level_minus_raw,8.807847922093215e-06,-8.02153564816166e-06,0.0005287823389778998,0.002167346736471905
U,1,1,1,gap_minus_raw,-0.00033815687198629485,-0.0009735985933847502,-0.0065961938319171,-0.0090256249847833
U,1,1,1,direct_minus_raw,0.04338615414319369,0.09711453225042632,-0.004119596575542299,-0.022679069948647664
U,1,1,1,direct_minus_gap,0.043724311015179984,0.09808813084381107,0.0024765972563748004,-0.013653444963864364
U,1,1,pooled,level_minus_raw,-1.3657598693789241e-05,-6.948776508686194e-05,-0.0018834535541462005,-0.001992573850379033
U,1,1,pooled,gap_minus_raw,-4.613064487038465e-05,-0.0001608395966914422,-0.0030947076328714006,-0.001773522408771733
U,1,1,pooled,direct_minus_raw,0.055595342926531205,0.12606500650389263,-0.0012621770188473002,-0.0040262339857242
U,1,1,pooled,direct_minus_gap,0.05564147357140159,0.12622584610058407,0.0018325306140241002,-0.002252711576952467
argn_continued,0,20260920,0,level_minus_raw,-0.079878873533791,-0.30256680264408375,-0.24385077242855202,-0.15802676091496304
argn_continued,0,20260920,0,gap_minus_raw,-0.0798710281875131,-0.30254757205925786,-0.24303843255346672,-0.15768250650959592
argn_continued,0,20260920,0,direct_minus_raw,-0.04529296742672381,-0.22386416602797743,-0.2411932482837843,-0.2450805906488734
argn_continued,0,20260920,0,direct_minus_gap,0.034578060760789286,0.07868340603128043,0.0018451842696823998,-0.08739808413927747
argn_continued,0,20260920,1,level_minus_raw,-0.07885291413431869,-0.3029200194278685,-0.2398025714220587,-0.1550582672225388
argn_continued,0,20260920,1,gap_minus_raw,-0.078875402548097,-0.30297283700202016,-0.24086161059525232,-0.15606508788622633
argn_continued,0,20260920,1,direct_minus_raw,-0.04638803381431669,-0.22845825316882706,-0.2395050643237345,-0.23673777660547413
argn_continued,0,20260920,1,direct_minus_gap,0.0324873687337803,0.0745145838331931,0.0013565462715177997,-0.08067268871924779
argn_continued,0,20260920,pooled,level_minus_raw,-0.07978101431657039,-0.30260047947347024,-0.2442715617383362,-0.1577543929400781
argn_continued,0,20260920,pooled,gap_minus_raw,-0.07977606229922538,-0.3025881210674499,-0.24359431881412028,-0.15753993645846015
argn_continued,0,20260920,pooled,direct_minus_raw,-0.04539741828467139,-0.22430235033952162,-0.2414983724159161,-0.24552856292977207
argn_continued,0,20260920,pooled,direct_minus_gap,0.03437864401455398,0.0782857707279283,0.0020959463982042,-0.08798862647131193
argn_continued,0,20260921,0,level_minus_raw,-0.026155798243013617,-0.24596505998430507,-0.2146930487274585,0.020168319926481743
