family,kappa,index,variant,group,repeat_curve_mean,repeat_curve_tape_min,repeat_curve_tape_max,null_shape_mean,null_shape_tape_min,null_shape_tape_max,mark_tv_mean,passes_relation,passes_null_shape,passes_distribution_cost,passes_generation_screen,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
argn_original,0,20260920,gap,0,0.09132952882609911,0.0883654462221773,0.0946742900827868,0.005029168875585,0.0039546385912276,0.0057190229965322,0.028655132128742797,False,True,False,False,-0.0004926977053123,0.0206116732883195,-0.0001514173579864,0.0
argn_original,0,20260920,gap,1,0.0933167231646712,0.0862665074051838,0.0979070128690512,0.013149502256161634,0.0068154026122407,0.0173748882843773,0.04701496175739706,False,True,False,False,-0.0005419028709632,0.0273321287119677,-0.0004905244203353,0.0
argn_original,0,20260920,gap,pooled,0.09153109735297706,0.0891735292813095,0.0937789378962607,0.0037395149883554996,0.0034383708904357,0.004113615772441,0.03936630205847347,False,True,False,False,-0.0010587581145366,0.0298598270321388,-0.0001841024582783,0.0
argn_original,0,20260920,level,0,0.09129798180602756,0.0883901260577101,0.0951004250492499,0.004281980148116267,0.0037521781949824,0.004703830100346,0.028606995273867068,False,True,False,False,-0.0004466073783184,0.0205635364334438,-0.0001514173579864,0.0
argn_original,0,20260920,level,1,0.09267669247719114,0.0866941061749291,0.0975084128851303,0.012882486196136867,0.0096551520961816,0.0164313641048809,0.046151249738411136,False,True,False,False,0.0001047406570862,0.0264684166929818,-0.0007875293435813,0.0
argn_original,0,20260920,level,pooled,0.09143059190149228,0.0889784620039539,0.0941987327380999,0.003218070120955,0.0025652498880551,0.0036152378714984,0.03941938086093713,False,True,False,False,-0.0010658696807879,0.0299129058346024,-0.0001841024582783,0.0
argn_original,0,20260920,raw,0,0.2527271387875116,0.2505814189182863,0.2547031354888253,0.0025504807210869336,0.0016358244053805,0.0030120865271857,0.008043458840423233,False,True,True,False,0.0,0.0,0.0,0.0
argn_original,0,20260920,raw,1,0.25101288765489543,0.2425175629459809,0.2589363639242804,0.010291963249003767,0.0070795173432534,0.015819464626946,0.019682833045429265,False,True,True,False,0.0,0.0,0.0,0.0
argn_original,0,20260920,raw,pooled,0.25255616168425316,0.249731952324366,0.2543960846189455,0.0021526488078914,0.0009445429925102,0.003007883487999,0.009506475026334633,False,True,True,False,0.0,0.0,0.0,0.0
argn_original,0,20260921,direct,0,0.006216323440513167,0.005421693538397,0.0072960333038935,0.004162355389009667,0.0036308256672764,0.0048748593586873,0.014285804023098467,True,True,True,True,-0.0020122988182657,0.0040208642565041,-2.594789008321819e-05,0.0
argn_original,0,20260921,direct,1,0.011318852447646799,0.0107086670274092,0.0117203617845187,0.010540172945463068,0.0085632310526769,0.0118091131137977,0.031817513947863564,True,True,False,False,-0.0007873658095996,0.0119315437697014,-0.0009764983822119,0.0
argn_original,0,20260921,direct,pooled,0.005271329157089134,0.004059298646488,0.0070317954566168,0.0033543474090241333,0.0027810493143669,0.004420226418224,0.018641094978752666,True,True,False,False,-0.0025172594521847,0.0108529037227865,-0.0001710645746445,0.0
argn_original,0,20260921,gap,0,0.07975050412286523,0.0772017990816096,0.0836604763016748,0.0048078839871717,0.0023421027586348,0.0067580308792415,0.04733809539753153,False,True,False,False,-0.002125414428589,0.0370731556309371,-2.594789008321819e-05,0.0
argn_original,0,20260921,gap,1,0.07475170714035793,0.0605106460251196,0.0882534278884089,0.012995459092447032,0.0103884110544746,0.0143204160819609,0.044880930087039604,False,True,False,False,-0.0001481927348634,0.0249949599088775,-0.0009764983822119,0.0
argn_original,0,20260921,gap,pooled,0.07922147673615464,0.0770318708009993,0.0811987938722955,0.004115444504170834,0.0023704097370913,0.0066069353640286,0.058991050819060364,False,True,False,False,-0.0026097098134522,0.0512028595630941,-0.0001710645746445,0.0
argn_original,0,20260921,level,0,0.07950977750416872,0.0774166675044292,0.0834599278381849,0.0036756705923860003,0.0012973801801514,0.005637691233028,0.047155488686734935,False,True,False,False,-0.002196883839681,0.0368905489201405,-2.594789008321819e-05,0.0
argn_original,0,20260921,level,1,0.07436726422519803,0.0633132497539008,0.0879022652065476,0.012942995004186832,0.0116987646664527,0.0137360593719919,0.04537859689363696,False,True,False,False,-0.0002034904281617,0.0254926267154749,-0.0009764983822119,0.0
