dataset,variant,comparison,candidate,reference,passed,action_improvement,amount_improvement,failed_checks,gap_tv_cost,mark_tv_cost,root_tv_cost,amount_ks_cost,mark_nll_cost,repeat_brier_cost,amount_log_mae_cost
sparkov,raw,external_candidate,G_both,original + D_both + Transition,False,-0.11062711741813797,-0.05197834317467723,"combined,direct_comparison,transition_level",,,,,,,
sparkov,gap,amount_only,U_amount,U,True,0.007766863428074783,0.10036305415289766,,-0.020486142318868854,-0.0037962959197699736,-0.005305184821208831,-0.039792802177434694,0.0009193640509037593,1.263766978140332e-07,-0.11755369596447252
sparkov,gap,action_with_legacy_amount,U_action,U,False,0.013783991726926126,-0.006973272095790628,action_relation,-0.025362922031711,0.004527005748220403,0.001759067028617143,-0.00882535246098673,0.0071391734964283415,2.4821895436765926e-07,0.001533494458899165
sparkov,gap,action_with_new_amount,U_both,U_amount,False,-0.005339519748275151,0.004447678258067814,"gap_tv,action_relation",0.019308711824141324,0.0006428077344728944,0.00038018117409188007,-0.006136942397358708,0.007390632977223532,2.494696077375881e-07,0.0004584310576158934
sparkov,gap,amount_with_full_action,U_both,U_action,False,-0.011356648047126494,0.1117840045067561,"gap_tv,action_relation",0.02418549153698347,-0.007680493933517482,-0.006684070675734094,-0.03710439211380667,0.0011708235316989501,1.2762735118396207e-07,-0.11862875936575579
sparkov,gap,combined_vs_original,U_both,U,False,0.0024273436797996317,0.10481073241096547,action_relation,-0.00117743049472753,-0.003153488185297079,-0.004925003647116951,-0.0459297445747934,0.008309997028127292,3.758463055516213e-07,-0.11709526490685662
sparkov,gap,repeat_structure_vs_direct,U_both,D_both,False,-0.06821864834708467,-0.0014481202265634735,"mark_nll,action_relation",-0.009901896369463814,-0.005134557053037073,0.0005370950265834382,0.00039208566975335035,0.2079263175344952,9.025200651078397e-07,2.555848515406467e-05
sparkov,gap,external_candidate,U_both,original + D_both + Transition,False,-0.07881566567258913,-0.03516754542774883,"combined,direct_comparison,transition_level",,,,,,,
sparkov,gap,amount_only,G_amount,G,False,-0.02424225833847493,0.10784717909327754,"gap_tv,action_relation",0.056703130686786944,0.00043500231622647934,0.000550228901091486,-0.058085978547538886,0.00052608802307752,-1.1976705672936232e-06,-0.11623037719431384
sparkov,gap,action_with_legacy_amount,G_action,G,False,-0.009323993297369215,0.0009229114650952108,"gap_tv,action_relation",0.028949273710268418,0.0065301957412618045,0.008652499204408737,-0.0037173228273520154,0.006248477250055728,6.054023488633042e-07,0.0023197302098689754
sparkov,gap,action_with_new_amount,G_both,G_amount,False,-0.002148475956779583,-0.02421267548409972,"root_tv,amount_ks,action_relation,amount_relation",-0.00807826045907789,0.009055316708232064,0.012797255351989712,0.014599580709391574,0.004272021339808418,1.5926003865351056e-06,0.006494087758903588
sparkov,gap,amount_with_full_action,G_both,G_action,False,-0.0170667409978853,0.08271159214408261,"gap_tv,action_relation",0.019675596517440636,0.002960123283196739,0.004694985048672461,-0.039769075010795296,-0.00145036788716979,-2.1047252962182184e-07,-0.11205601964527923
sparkov,gap,combined_vs_original,G_both,G,False,-0.026390734295254514,0.08363450360917782,"gap_tv,root_tv,action_relation",0.048624870227709054,0.009490319024458543,0.013347484253081198,-0.04348639783814731,0.004798109362885938,3.949298192414824e-07,-0.10973628943541025
sparkov,gap,repeat_structure_vs_direct,G_both,D_both,False,-0.10014381472485927,-0.018252858248845746,"gap_tv,root_tv,mark_nll,action_relation,amount_relation",0.04747493670762112,0.0044063919943717195,0.014749780665318735,0.005632313573617931,0.20384912095384689,1.5241770379586551e-06,0.007150216875869808
sparkov,gap,external_candidate,G_both,original + D_both + Transition,False,-0.11074083205036372,-0.051972283450031104,"combined,direct_comparison,transition_level",,,,,,,
