dataset,model,variant,generation_seed,reused,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
berka,G_amount,raw,20261022,False,0.09414242117207067,0.07168888450868391,0.07168888450868391,0.23234847984446103,0.23234847984446103,0.22225794977544938,0.18721056511795292,0.10217273574968919,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3875598086124402,0.1676976031957522,0.12521538188335263
berka,G_amount,gap,20261021,False,0.08435555731822116,0.07586664028017613,0.07586664028017613,0.21943494241772152,0.21943494241772152,0.22643920358040112,0.2075549382012301,0.08872447680906483,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.37506990617038466,0.15977368276894494,0.11053881960829823
berka,G_amount,gap,20261022,False,0.09442204585360923,0.07097711871057781,0.07097711871057781,0.23671447437191184,0.23671447437191184,0.22637160080851915,0.18546362980109837,0.10169815704162635,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3922823587895358,0.17142662743440973,0.12517201500791897
berka,U_action,raw,20261021,False,0.14031156303499245,0.13283563003536078,0.13283563003536078,0.33902519682483845,0.33902519682483845,0.33915351848828623,0.22917791262324247,0.13734970792111456,0.08006944444444442,32314,128,675,0.0,0.0,0.0263662808689732,0.0,0.0,0.31423600323121853,0.23131106602294454,0.16184088966865381
berka,U_action,raw,20261022,False,0.13428409767738353,0.12825557185624334,0.12825557185624334,0.330700631620902,0.330700631620902,0.3247352088802431,0.21768438478270863,0.13270776648553517,0.08006944444444442,32314,128,675,0.0,0.0,0.02478801757752058,0.0,0.0,0.32085378736096437,0.22316899382428818,0.1595301910313454
berka,U_action,gap,20261021,False,0.13173640613447668,0.13274279101821645,0.13274279101821645,0.33871573343435757,0.33871573343435757,0.33336418240039606,0.22507772876147197,0.13741871059622546,0.08006944444444442,32314,128,675,0.0,0.0,0.025159373646097667,0.0,0.0,0.31697011122848445,0.2272946497369214,0.15465408182572832
berka,U_action,gap,20261022,False,0.1319228225888357,0.13113358138771578,0.13113358138771578,0.3331599611964813,0.3331599611964813,0.3249878217440009,0.22369870948397363,0.13368531658526472,0.08006944444444442,32314,128,675,0.0,0.0,0.02382868106702977,0.0,0.0,0.31926924749891256,0.2301289321593045,0.15663707356139348
berka,G_action,raw,20261021,False,0.08722990455238303,0.11534526565747662,0.11534526565747662,0.34821225414986945,0.34821225414986945,0.3441888665602577,0.3055952356601439,0.12304043684110588,0.08006944444444442,32314,128,675,0.0,0.0,0.021848115367951972,0.0,0.0,0.4113589759522774,0.21245119053260286,0.16743424159302486
berka,G_action,raw,20261022,False,0.08381226955580065,0.10962909618164299,0.10962909618164299,0.3292766744808771,0.3292766744808771,0.33169065656520574,0.2847305821291514,0.12102892480298,0.08006944444444442,32314,128,675,0.0,0.0,0.021043510552701615,0.0,0.0,0.4059839681849251,0.2129430322285487,0.16490379025856094
berka,G_action,gap,20261021,False,0.08769594568828062,0.11661406555844836,0.11661406555844836,0.3450902537344514,0.3450902537344514,0.33878914473313615,0.29888163010393026,0.12081300744477874,0.08006944444444442,32314,128,675,0.0,0.0,0.02138392028223061,0.0,0.0,0.40865593736407135,0.20826899235273902,0.16883651202172553
berka,G_action,gap,20261022,False,0.08760273746110109,0.11451861775124131,0.11451861775124131,0.33735008914398956,0.33735008914398956,0.3324004441084519,0.28257025746265535,0.126166017084963,0.08006944444444442,32314,128,675,0.0,0.0,0.021414866621278703,0.0,0.0,0.40085751569005157,0.21334694709572286,0.16649683599270693
berka,U_both,raw,20261021,False,0.07062770162856438,0.0933822681813954,0.0933822681813954,0.2644946740222061,0.2644946740222061,0.191357783160563,0.18953098274413227,0.12374813484863334,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4051761635493693,0.159124947255301,0.09228644786918282
berka,U_both,raw,20261022,False,0.07093357260437043,0.10551323308824692,0.10551323308824692,0.28482385805513155,0.28482385805513155,0.205106741412298,0.20383157831839369,0.15524670335870028,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.4036226930963773,0.18029377822210574,0.09305502402162649
berka,U_both,gap,20261021,False,0.06528376327027194,0.09062804400611534,0.09062804400611534,0.26436102872950823,0.26436102872950823,0.18522781444203076,0.18104474655309416,0.1245217933248356,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.3981234076927857,0.15384216291720273,0.08413316457324177
berka,U_both,gap,20261022,False,0.0702811150141138,0.10702960370160337,0.10702960370160337,0.29042310014307193,0.29042310014307193,0.2096853236909184,0.20746597780476062,0.1567011812939606,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.40502081650407007,0.18290417630781386,0.09394433895359203
berka,G_both,raw,20261021,False,0.07338805592009776,0.06283823154092998,0.06283823154092998,0.24529348513695998,0.24529348513695998,0.15238320583307002,0.1441832925908286,0.09738945174253019,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.38526067234201206,0.11958063637666788,0.09060022241375176
berka,G_both,raw,20261022,False,0.06313515093035066,0.0637666217123727,0.0637666217123727,0.23227848063524623,0.23227848063524623,0.14595506610196973,0.13373718661681613,0.09519226167011577,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.39451935624184425,0.11731449869640566,0.08155760179668396
berka,G_both,gap,20261021,False,0.07189672428522546,0.0637356753733246,0.0637356753733246,0.24093005133117928,0.24093005133117928,0.1492673462219157,0.13704794040319812,0.09717282736919357,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.38759087802150005,0.11818242608584015,0.0920341403208941
berka,G_both,gap,20261022,False,0.0677955622893266,0.06045536343422701,0.06045536343422701,0.23298702246788935,0.23298702246788935,0.1484304877128374,0.14116784212224298,0.09516131533106767,0.08006944444444442,32314,128,675,0.0,0.0,0.0,0.0,0.0,0.39315230224321135,0.11662758192287015,0.08549821423670001
