kappa,trial,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
0,2,C,direct,0,0.015790324073884105,0.046352435486157216,0.007599408369371439,3.8258014376113844e-05,0.024357018518097864,0.0058455320291510154,0.02534034126176889,0.0526384976313695,0.0,0.008428582840235248,0.03486998938227374,0.06643639620968965,0.015980419726708005,0.004172095762200903,0.31948920788841323,0.3121599775075561
0,2,C,direct,1,0.04817547778499757,0.1230272287160847,0.009430702262228044,0.0002039647196492466,0.01025652590175286,0.005934473818026263,0.033717155784385604,0.05445872780439529,0.0,0.02506488362035808,0.03692057808157503,0.06320595559507745,0.03596270269496643,0.00896565118394948,0.3146958710097983,0.31017932137857473
0,2,C,direct,pooled,0.015763585818016256,0.04354818437075458,0.0074711776048608835,3.815778771129413e-05,0.022030743296312733,0.005561259271024698,0.02599698069714282,0.05259754127847199,0.0,0.009276591630737565,0.03479919720303112,0.06598143958497565,0.015150947804831305,0.0037951308568217553,0.3190113727309647,0.3119710563295204
0,2,C,gap,0,0.018652548025018045,0.04887761660906031,0.007363036322884968,5.788326225592361e-05,0.023970144293203,0.005761520582927897,0.024929457146567562,0.052574383419803715,0.0,0.012611440961255528,0.034358542820042214,0.06611528324002373,0.015980419726708005,0.004748611578821836,0.3184161865402171,0.3121599775075561
0,2,C,gap,1,0.05231926043487236,0.12748708129977956,0.01129722487516393,0.0001951238141238488,0.00900594721097866,0.006191624270070179,0.03453414924843789,0.05356556612974828,0.0,0.028425780564058506,0.036955489932277354,0.06313547473872386,0.03596270269496643,0.008274822382728012,0.31902526170968004,0.31017932137857473
0,2,C,gap,pooled,0.019188937733377567,0.04682871865487761,0.007519515462979898,5.3097912943009164e-05,0.021968322515585757,0.00545998448419898,0.025598732987067153,0.05249232822825942,0.0,0.013920098065770234,0.03433566985752954,0.06570962479259634,0.015150947804831305,0.004385812384500238,0.31849355644986815,0.3119710563295204
0,2,C,raw,0,0.018754383864587318,0.048911060452571264,0.007489194063679647,6.272733040169011e-05,0.02396505709839633,0.005760353112662761,0.02492151610089066,0.05257435048178153,0.0,0.01271479510949544,0.03436615143299208,0.06611388256229982,0.015980419726708005,0.004854740984365338,0.31846570271391883,0.3121599775075561
0,2,C,raw,1,0.05187770332584887,0.1270578230271268,0.012526078448549529,0.0001609208008070173,0.008608104150838259,0.006179472488022327,0.03460223203710891,0.053722056626450805,0.0,0.028295317419896743,0.03707889403190706,0.0630853771063817,0.03596270269496643,0.009428053192748977,0.32051226358824486,0.31017932137857473
0,2,C,raw,pooled,0.019302537577314965,0.04683956825872423,0.007727101368889361,5.8583303233167415e-05,0.0219250799030703,0.005451276048466604,0.025598732987067135,0.05250189002877559,0.0,0.014090444209133563,0.03433566985752954,0.06570395557362653,0.015150947804831305,0.0045556680926944456,0.31869101791712545,0.3119710563295204
0,2,G,direct,0,0.015544967396217116,0.04629498443751485,0.007467455871684528,4.491473709258365e-05,0.023271501711232406,0.005958734463300491,0.0256671284362122,0.052875123192417134,0.0,0.00847819562139796,0.03500278856487162,0.06648305944266035,0.015980419726708005,0.004263954584742924,0.31931189374295293,0.3121599775075561
0,2,G,direct,1,0.04807667969721959,0.12319648068482929,0.008887754506473233,0.00019483620139903521,0.009039108141449129,0.005936929927260669,0.03480648040312198,0.05517099231957759,0.0,0.02572711700703845,0.0373248521455203,0.0632435794274558,0.03596270269496643,0.009152298579335638,0.314248160662647,0.31017932137857473
0,2,G,direct,pooled,0.01556210715860072,0.04363399238378326,0.007270876024703118,3.755725777413202e-05,0.02106844665208721,0.005654052299288079,0.026395228407218474,0.052875838927131276,0.0,0.0090312931842944,0.034956933640164944,0.06602817857707516,0.015150947804831305,0.0036569082561883413,0.3188038212191957,0.3119710563295204
0,2,G,gap,0,0.018885627899430647,0.04916155458470962,0.007865062419029603,6.156120706454603e-05,0.02248512487650707,0.005912850973621608,0.024658615635246555,0.05263701430222007,0.0,0.013181498796446143,0.03492671222397405,0.06638860024832634,0.015980419726708005,0.005175003758360824,0.31924468801496636,0.3121599775075561
0,2,G,gap,1,0.052860793883150105,0.12576046036803168,0.010817495744514335,0.00011697367479757943,0.007071111945821093,0.006253918170617558,0.034125652516411746,0.05402860523095366,0.0,0.03156172984428179,0.03755406690557406,0.06340839997203716,0.03596270269496643,0.008054031981888725,0.319040108551017,0.31017932137857473
0,2,G,gap,pooled,0.02014577914509283,0.04721902029248586,0.00807220462547783,5.656347107866938e-05,0.019982637312040183,0.005578648087576382,0.025435166963286054,0.052555555966835775,0.0,0.015142546755490342,0.034948894467199454,0.0659748509765743,0.015150947804831305,0.004654232650845014,0.3192417792938859,0.3119710563295204
0,2,G,raw,0,0.01913011216943067,0.04915694765994183,0.00899921270581028,5.213483250692593e-05,0.022524386320776624,0.0059152506118598175,0.024714202954984832,0.05265691388228569,0.0,0.013409757184941917,0.034910588911864625,0.06636943287898513,0.015980419726708005,0.0047408517288272,0.32062209353115506,0.3121599775075561
0,2,G,raw,1,0.05379395963987287,0.12591079135590152,0.014350221178645116,0.00012829119973770136,0.007651630918858727,0.006256709688469115,0.03419373530508277,0.05404643613453996,0.0,0.03193471742278033,0.03753570672245229,0.06340794547339157,0.03596270269496643,0.008930091262891576,0.3237493691961855,0.31017932137857473
0,2,G,raw,pooled,0.020345915188960895,0.04716267162028024,0.009557598834006647,4.980923048229635e-05,0.020066961348439046,0.005582370904881294,0.025499171059548225,0.052578620522095394,0.0,0.015318201169371307,0.03494208062146492,0.06595520198157934,0.015150947804831305,0.004428394604332025,0.3209649731178083,0.3119710563295204
0,2,U,direct,0,0.0157747058287214,0.04629543850202449,0.00726941439288796,3.908801567982707e-05,0.023363681085518003,0.005988807450068072,0.025897418760842155,0.05288555476470203,0.0,0.0083167066641973,0.03499815127919929,0.06643329980680422,0.015980419726708005,0.003914304940968393,0.3190191308407819,0.3121599775075561
0,2,U,direct,1,0.0482538779520276,0.1238343009234948,0.009616519996227877,0.00019621228324067882,0.008249362894859872,0.005923137162742664,0.03473839761445096,0.05528091761664961,0.0,0.02528118041225985,0.03703322276386014,0.06315960950744777,0.03596270269496643,0.009268098315861131,0.3149668535734064,0.31017932137857473
0,2,U,direct,pooled,0.016056713250167717,0.04354697384587466,0.00723442668880953,3.52635171299132e-05,0.02110036586640621,0.005686557346522025,0.02660146382850766,0.052873118252714645,0.0,0.009143578214222714,0.03492929458735452,0.06597330021648708,0.015150947804831305,0.0034131870332608145,0.31861898051257914,0.3119710563295204
0,2,U,gap,0,0.018767549270385875,0.04907421234187096,0.007817530910111122,6.99348880297426e-05,0.022627977673266648,0.005937709932613471,0.025079491056121988,0.052668209610242316,0.0,0.013330708696779318,0.0347440244369114,0.06632837187097838,0.015980419726708005,0.0055730196145086916,0.31882547642328884,0.3121599775075561
0,2,U,gap,1,0.052898740465134625,0.12631080517126625,0.013982975808010467,0.00012268670563470277,0.009133538514239098,0.006262170589922765,0.033580990207043554,0.05370747107872017,0.0,0.03191180678119986,0.037702315174920564,0.06343413375468908,0.03596270269496643,0.008219455140606938,0.3228842976546496,0.31017932137857473
0,2,U,gap,pooled,0.02031616493116319,0.04739784174977585,0.008192301695029623,6.211621510399377e-05,0.020143619714709213,0.005610735658273948,0.025769410577099566,0.05254158054624982,0.0,0.015328934833305575,0.034794007550068416,0.06592005804545938,0.015150947804831305,0.004917603516434071,0.3192675800990161,0.3119710563295204
0,2,U,raw,0,0.018891258769013614,0.049273692466942354,0.00803771416153519,6.364170566857943e-05,0.022699200609657966,0.005937523308900354,0.025111255238829577,0.05267908580885808,0.0,0.01332032939724821,0.03473641582396153,0.06632157125241371,0.015980419726708005,0.00527328915975004,0.31936566634911395,0.3121599775075561
0,2,U,raw,1,0.05256060330320123,0.12567770411951323,0.015638268134639272,0.0001229614732725212,0.008866108150213997,0.006280026648978816,0.033989486939069696,0.05396798668983716,0.0,0.03168960939481319,0.03763708360283966,0.06343848747279797,0.03596270269496643,0.008337002705537807,0.32554086917624686,0.31017932137857473
0,2,U,raw,pooled,0.020356863741626048,0.047427448763438566,0.008556698119675544,5.7986511794489706e-05,0.020178713924224077,0.005613912336924821,0.025819191540859016,0.05256498240032872,0.0,0.01530130997972643,0.03479400755006843,0.065914696974544,0.015150947804831305,0.0048017370560227415,0.3200274001443391,0.3119710563295204
1,0,C,direct,0,0.01575284806812845,0.04802146039173167,0.0033285852466872854,1.8754849315040704e-05,0.01075102778344754,0.005517857311214613,0.02225721529092345,0.05158313768993226,0.0,0.008908139319071466,0.03446814804064322,0.06553582447664193,0.015980419726708005,0.0025364234778000056,0.3193337117270796,0.3174738173894708
1,0,C,direct,1,0.05200087145214551,0.11566506792538601,0.018073682502581578,0.005531100547034369,0.014465121182805199,0.010843201345243712,0.02575776447873701,0.05322660286575206,0.0,0.032036069300648694,0.04967357961314602,0.07080993189143002,0.03596270269496643,0.015828072541067297,0.3269946736358928,0.32024531697886804
1,0,C,direct,pooled,0.015565572594065302,0.045964377730500695,0.00443420487752698,0.00015799005270377849,0.008346999405639396,0.005962856989256153,0.022212796108420252,0.05131076189107658,0.0,0.009671667762141498,0.03555613879244055,0.06585685685939409,0.015150947804831305,0.0035645505377768206,0.32033187580973843,0.317738171690903
1,0,C,gap,0,0.01759180228061724,0.04929876449212384,0.005370867404341422,7.9382922726341e-05,0.012878459923255087,0.005461326130248349,0.02195545555520149,0.051399946580112425,0.0,0.011837672345213992,0.03453919252812365,0.06557690588209665,0.015980419726708005,0.005263475483130988,0.3184476060448016,0.3174738173894708
1,0,C,gap,1,0.05652423891628985,0.12433804455490888,0.04021951251709767,0.031877894360417276,0.015529641889785154,0.011015163138719712,0.02617636856163112,0.052741051041420565,0.0,0.038615890550972996,0.04953644079641025,0.07034074820782509,0.03596270269496643,0.03678290830783123,0.30420034351381803,0.32024531697886804
1,0,C,gap,pooled,0.016499541726638287,0.0475902129194132,0.004654946789221635,0.00021182438001779292,0.010085136940008782,0.005932371104186199,0.022070564783393254,0.05125113144788368,0.0,0.011555241420951887,0.0357476632138238,0.06584610631464635,0.015150947804831305,0.004451518496266157,0.31704201343806554,0.317738171690903
1,0,C,raw,0,0.017328317335019144,0.04967088190152993,0.007674319623735521,0.0001201255546167114,0.01277688188301255,0.005521060607491955,0.02194751450952459,0.0514168882725824,0.0,0.011375337193025858,0.034570047633520895,0.06556265821333311,0.015980419726708005,0.006372776882591206,0.3114735777618763,0.3174738173894708
1,0,C,raw,1,0.05641271393870537,0.1276387843078059,0.056567762788726945,0.046024250705734605,0.014400094533111607,0.010957742459192564,0.026652948082328303,0.05286487694571826,0.0,0.03778620696035124,0.04968746434536614,0.07034623762845284,0.03596270269496643,0.05397942272864803,0.3076524715975029,0.32024531697886804
1,0,C,raw,pooled,0.01636167296993859,0.04805854582115948,0.007116929431068188,0.00017453994556923362,0.010115530682512247,0.005978845070410845,0.022035006952136504,0.05125855869848572,0.0,0.011257406067854308,0.035760372937445606,0.06584073973082842,0.015150947804831305,0.004296662909955306,0.3111695580160115,0.317738171690903
1,0,G,direct,0,0.015682401763089705,0.04792282976059151,0.0031450425622863375,1.2089808631266663e-05,0.013178654361438882,0.005636444480321204,0.02207457124035489,0.05165944498555727,0.0,0.008276010939820444,0.03458190250059442,0.06548807699302352,0.015980419726708005,0.002365626751278962,0.3190375615802064,0.3174738173894708
1,0,G,direct,1,0.05260671724959049,0.11533771924225768,0.01879721423895121,0.0060932782439216265,0.012253227345906096,0.01088984905678142,0.02684708909747339,0.05336138357542578,0.0,0.03262315344937668,0.049391159492652215,0.0708641429124787,0.03596270269496643,0.016300972015626806,0.32838516976473836,0.32024531697886804
1,0,G,direct,pooled,0.015514035671504911,0.046165277453650615,0.004573863337661864,0.00016876603685430912,0.010753750945660787,0.006072578822576258,0.022084787915895965,0.05136223121035299,0.0,0.009256227608050966,0.035758711627384976,0.06581117583762623,0.015150947804831305,0.0036825692634356844,0.32023570090594855,0.317738171690903
1,0,G,gap,0,0.017815981582367118,0.0498399990571106,0.004176917143463573,4.875718842934888e-05,0.013456476483401736,0.005567035126652004,0.021624133941532064,0.05139010267385902,0.0,0.01128763086663217,0.03456819851041384,0.06542642550654648,0.015980419726708005,0.004281210794600756,0.31958112496364033,0.3174738173894708
1,0,G,gap,1,0.05539071402570028,0.12022393464504973,0.02797479133265617,0.02174670014802944,0.012721589877139653,0.010972823388143376,0.027265693180367534,0.05277671177190627,0.0,0.03600141880961172,0.050304784873742715,0.07067217910005578,0.03596270269496643,0.027160865980012855,0.30801106330494554,0.32024531697886804
1,0,G,gap,pooled,0.01720777618014858,0.04789155781624547,0.003065815730300837,0.00015034380798914504,0.010955815438834926,0.006020036490448456,0.021693651772071647,0.05124880780944956,0.0,0.01165789152512371,0.035817560590565345,0.06573336884729032,0.015150947804831305,0.0029975262959040794,0.3184426462924066,0.317738171690903
1,0,G,raw,0,0.017493958008634482,0.05026155127988675,0.008731046252661502,4.81960710465024e-05,0.013150218340917763,0.005522024119550895,0.021767072763716182,0.05148046707427017,0.0,0.01092321503664989,0.03454500147346377,0.06539064112315973,0.015980419726708005,0.004510725611772446,0.3095561830723763,0.3174738173894708
1,0,G,raw,1,0.05615864354205061,0.12266075952373899,0.03362108520059564,0.028459150379419828,0.012550514319378439,0.010935639505555405,0.026925279237012417,0.052666010120746225,0.0,0.03519599599659667,0.050204374757423474,0.0706152823257602,0.03596270269496643,0.03211697303856627,0.3100480655742944,0.32024531697886804
1,0,G,raw,pooled,0.016691194678948404,0.04865483962113973,0.008313516833397441,0.00010912404066984142,0.010621209389983339,0.0059758096251707965,0.02177187900083651,0.051317340515490716,0.0,0.011196551650086586,0.03581617873964443,0.06569726385381412,0.015150947804831305,0.0027934275771388725,0.3096805623264948,0.317738171690903
