kappa,name,variant,group,gap_conditioned_mark_tv,transition_conditioned_mark_tv,short_gap_repeat_curve_l1,gap_repeat_mi_error,gap_lag1_acf_error,amount_lag1_acf_error,gap_ks,gap_scaled_w1,gap_zero_rate_error,mark_sparse_tv,amount_ks,amount_scaled_w1,length_scaled_w1,null_centered_shape_l1,generated_repeat_level,reference_repeat_level
1,G,gap,pooled,0.01653181861254923,0.04704754250836494,0.0037030375631164486,0.00020572322305005794,0.012895456384126973,0.0060379797234781955,0.021820609281489132,0.05121000751289448,0.0,0.010579324725513532,0.03403738632908496,0.06460557808846806,0.015150947804831307,0.0032721165234558176,0.3184726379200574,0.317738171690903
1,G,raw,0,0.018215971773666677,0.05035008287178844,0.007289876157769232,5.739318868298835e-05,0.015515057621578121,0.005561945461549302,0.021697970986528127,0.05125196605379677,0.0,0.011666843986405419,0.032860873829400575,0.06427611776842573,0.015980419726708005,0.004538587957725232,0.31805496470002403,0.3174738173894708
1,G,raw,1,0.055298204507494196,0.12194169688846304,0.028319923739621927,0.025460149318512273,0.012933680170791044,0.011147580046863706,0.027829465810969664,0.0534182718647874,0.0,0.03458394266555688,0.0482721800888106,0.06955336962724154,0.03596270269496643,0.027506374595274254,0.3163572480011936,0.32024531697886804
1,G,raw,pooled,0.016424899629255488,0.047381241145732216,0.006506003099071258,0.00017986637208235575,0.012884798181627442,0.006034694446786729,0.021870390245248575,0.05123997775378409,0.0,0.010645854642456005,0.03403220701415907,0.06458979373916626,0.015150947804831307,0.0033676365565038975,0.31793448451336864,0.317738171690903
1,U,direct,0,0.016166895624642005,0.04795684001064692,0.0032081699241081566,2.139658627666126e-05,0.014976486264905504,0.00554800159970852,0.02210784794471672,0.051363582787371014,0.0,0.008826538858915512,0.0327435239120875,0.06422901646763315,0.015980419726708005,0.002651451460538623,0.3191529255700216,0.3174738173894708
1,U,direct,1,0.05353113683167834,0.11604526824296668,0.017730373233546953,0.006289887828197572,0.012726299874415509,0.011082607529501307,0.028242936793804643,0.05409344635793248,0.0,0.033320279240355674,0.04785759387480509,0.0697564996058797,0.03596270269496643,0.01651002823962876,0.32600694560867693,0.32024531697886804
1,U,direct,pooled,0.015599709472577451,0.04589670389473461,0.0041424714902038,0.00014494873286493196,0.012470389766982103,0.0060147731556919,0.022127994916720385,0.05127934070804074,0.0,0.008762985589359588,0.033943921037805774,0.06456121902008044,0.015150947804831307,0.0034089030330362547,0.3200615744474178,0.317738171690903
1,U,gap,0,0.018581127422811945,0.05003847408666304,0.004272380483830377,4.355897841361705e-05,0.015394812167814884,0.005604156413929811,0.02173220654782864,0.05120938922850896,0.0,0.012230961370757428,0.03296603587929159,0.06432540893545324,0.015980419726708005,0.004108669531837052,0.31948945187791516,0.3174738173894708
1,U,gap,1,0.05524195761023723,0.12117973427069326,0.026434685597504382,0.020829269081781388,0.015025221616998072,0.011336086601942463,0.028140383717822362,0.05376268880085116,0.0,0.03430485899232124,0.04829787156611584,0.06952622910137872,0.03596270269496643,0.02519441187875603,0.3098346270806092,0.32024531697886804
1,U,gap,pooled,0.016431623320893984,0.047055471287000925,0.003678180818511118,0.0001793167582711242,0.012559568305916528,0.006092357130156408,0.02191248286510501,0.051201997504521236,0.0,0.010801261312345552,0.03410921435842056,0.06463059295866144,0.015150947804831307,0.0034031764295746024,0.31855109116115243,0.317738171690903
1,U,raw,0,0.01854174782032741,0.05033560463234329,0.006544683684863401,5.373958356670005e-05,0.015360693328660286,0.005610679916028972,0.02168264736012837,0.05119258986169333,0.0,0.012276997263858978,0.03293984414541964,0.06430669988458608,0.015980419726708005,0.004291809818177746,0.31718897957298786,0.3174738173894708
1,U,raw,1,0.055307693535867286,0.12208909092666,0.02955271590411806,0.026438137396139164,0.01535465522927172,0.01131702873319436,0.0278907468260286,0.05366033717716821,0.0,0.034208599294156664,0.048241963155565705,0.06952680353638879,0.03596270269496643,0.028726685751105485,0.316285561822198,0.32024531697886804
1,U,raw,pooled,0.016485295294157827,0.047461779495047124,0.005935845800803835,0.00017811808194790108,0.012494203056346648,0.006096230745363768,0.021827144070088792,0.05118580954173413,0.0,0.010875601512305908,0.034104744742110324,0.06461453474824068,0.015150947804831307,0.003248467840025552,0.31715381654863356,0.317738171690903
